"";"sampling_date";"sample_source";"timing";"analysis";"mean";"sd"
"57";20210325;"UF_permeate";"before_backwash";"total_COD";44,5;0,42
"58";20210616;"UF_permeate";"after_backwash";"total_COD";34,6;0,85
"59";20210616;"UF_permeate";"before_backwash";"total_COD";36,6;0,28
"60";20210901;"UF_permeate";"after_backwash";"total_COD";31,1;0,99
"61";20210901;"UF_permeate";"before_backwash";"total_COD";34,9;4,24
"62";20210908;"UF_permeate";"after_backwash";"total_COD";31,9;4,24
"63";20210908;"UF_permeate";"before_backwash";"total_COD";33,9;1,13
"64";20190911;"BODAC_1_effluent";"after_backwash";"soluble_COD";21,8;1,41
"65";20190911;"BODAC_1_effluent";"before_backwash";"soluble_COD";21,95;1,06
"66";20191212;"BODAC_1_effluent";"after_backwash";"soluble_COD";23,77;0,74
"67";20191212;"BODAC_1_effluent";"before_backwash";"soluble_COD";24,53;0,06
"68";20200304;"BODAC_1_effluent";"after_backwash";"soluble_COD";31;0,71
"69";20200304;"BODAC_1_effluent";"before_backwash";"soluble_COD";31,1;0,57
"70";20200625;"BODAC_1_effluent";"after_backwash";"soluble_COD";28,15;1,06
"71";20200625;"BODAC_1_effluent";"before_backwash";"soluble_COD";27,9;1,27
"72";20200915;"BODAC_1_effluent";"after_backwash";"soluble_COD";29,25;0,07
"73";20200915;"BODAC_1_effluent";"before_backwash";"soluble_COD";27,8;0
"74";20201214;"BODAC_1_effluent";"after_backwash";"soluble_COD";29,55;0,07
"75";20201214;"BODAC_1_effluent";"before_backwash";"soluble_COD";29,35;0,35
"76";20210317;"BODAC_1_effluent";"after_backwash";"soluble_COD";33,1;0,71
"77";20210317;"BODAC_1_effluent";"before_backwash";"soluble_COD";29,1;0,14
"78";20210325;"BODAC_1_effluent";"before_backwash";"soluble_COD";40,9;0,28
"79";20210616;"BODAC_1_effluent";"after_backwash";"soluble_COD";34,95;0,78
"80";20210616;"BODAC_1_effluent";"before_backwash";"soluble_COD";20,95;1,06
"81";20210901;"BODAC_1_effluent";"after_backwash";"soluble_COD";23;1,13
"82";20210901;"BODAC_1_effluent";"before_backwash";"soluble_COD";25,8;1,13
"83";20210908;"BODAC_1_effluent";"after_backwash";"soluble_COD";22,45;0,21
"84";20210908;"BODAC_1_effluent";"before_backwash";"soluble_COD";25,05;2,62
"85";20190911;"BODAC_2_effluent";"after_backwash";"soluble_COD";17,2;1,56
"86";20190911;"BODAC_2_effluent";"before_backwash";"soluble_COD";18,75;1,06
"87";20191212;"BODAC_2_effluent";"after_backwash";"soluble_COD";20,07;0,81
"88";20191212;"BODAC_2_effluent";"before_backwash";"soluble_COD";21,2;0,44
"89";20200304;"BODAC_2_effluent";"after_backwash";"soluble_COD";27,35;0,21
"90";20200304;"BODAC_2_effluent";"before_backwash";"soluble_COD";29,15;0,64
"91";20200625;"BODAC_2_effluent";"after_backwash";"soluble_COD";21,15;0,07
"92";20200625;"BODAC_2_effluent";"before_backwash";"soluble_COD";23,15;0,64
"93";20200915;"BODAC_2_effluent";"after_backwash";"soluble_COD";22,25;0,35
"94";20200915;"BODAC_2_effluent";"before_backwash";"soluble_COD";22,3;1,13
"95";20201214;"BODAC_2_effluent";"after_backwash";"soluble_COD";23;0,42
"96";20201214;"BODAC_2_effluent";"before_backwash";"soluble_COD";23,3;0,14
"97";20210317;"BODAC_2_effluent";"after_backwash";"soluble_COD";29,05;0,21
"98";20210317;"BODAC_2_effluent";"before_backwash";"soluble_COD";28,65;0,07
"99";20210325;"BODAC_2_effluent";"before_backwash";"soluble_COD";34,7;0,28
"100";20210616;"BODAC_2_effluent";"after_backwash";"soluble_COD";27,5;0,28
"101";20210616;"BODAC_2_effluent";"before_backwash";"soluble_COD";20,6;0,99
"102";20210901;"BODAC_2_effluent";"after_backwash";"soluble_COD";21;0,99
"103";20210901;"BODAC_2_effluent";"before_backwash";"soluble_COD";20,35;0,92
"104";20210908;"BODAC_2_effluent";"after_backwash";"soluble_COD";18,3;0,42
"105";20210908;"BODAC_2_effluent";"before_backwash";"soluble_COD";23,25;1,48
"106";20190911;"UF_permeate";"after_backwash";"soluble_COD";22,75;1,2
"107";20190911;"UF_permeate";"before_backwash";"soluble_COD";25,55;1,34
"108";20191212;"UF_permeate";"after_backwash";"soluble_COD";26,2;0,87
"109";20191212;"UF_permeate";"before_backwash";"soluble_COD";27,1;1
"110";20200304;"UF_permeate";"after_backwash";"soluble_COD";33,1;0,42
"111";20200304;"UF_permeate";"before_backwash";"soluble_COD";32,3;0,42
"112";20200625;"UF_permeate";"after_backwash";"soluble_COD";28,4;2,12
"113";20200625;"UF_permeate";"before_backwash";"soluble_COD";35,1;0,42
"114";20200915;"UF_permeate";"after_backwash";"soluble_COD";32,35;0,35
"115";20200915;"UF_permeate";"before_backwash";"soluble_COD";37;0,71
"116";20201214;"UF_permeate";"after_backwash";"soluble_COD";30,6;1,27
"117";20201214;"UF_permeate";"before_backwash";"soluble_COD";35,35;0,35
"118";20210317;"UF_permeate";"after_backwash";"soluble_COD";35,8;0,71
"119";20210317;"UF_permeate";"before_backwash";"soluble_COD";34,1;0,14
"120";20210325;"UF_permeate";"before_backwash";"soluble_COD";44,05;0,21
"121";20210616;"UF_permeate";"after_backwash";"soluble_COD";33,15;0,35
"122";20210616;"UF_permeate";"before_backwash";"soluble_COD";36,4;0,57
"123";20210901;"UF_permeate";"after_backwash";"soluble_COD";29,15;0,21
"124";20210901;"UF_permeate";"before_backwash";"soluble_COD";30,9;0,85
"125";20210908;"UF_permeate";"after_backwash";"soluble_COD";27,45;0,49
"126";20210908;"UF_permeate";"before_backwash";"soluble_COD";33,75;4,17
"127";20190911;"BODAC_1_effluent";"after_backwash";"total_organic_carbon";10,95;0,78
"128";20190911;"BODAC_1_effluent";"before_backwash";"total_organic_carbon";11,58;0,88
"129";20191212;"BODAC_1_effluent";"after_backwash";"total_organic_carbon";9,66;0,45
"130";20191212;"BODAC_1_effluent";"before_backwash";"total_organic_carbon";10,08;0,17
"131";20200304;"BODAC_1_effluent";"after_backwash";"total_organic_carbon";13,73;0,29
"132";20200304;"BODAC_1_effluent";"before_backwash";"total_organic_carbon";13,5;0,44
"133";20200625;"BODAC_1_effluent";"after_backwash";"total_organic_carbon";12,6;0,99
"134";20200625;"BODAC_1_effluent";"before_backwash";"total_organic_carbon";13;0,14
"135";20200915;"BODAC_1_effluent";"after_backwash";"total_organic_carbon";13,1;0
"136";20200915;"BODAC_1_effluent";"before_backwash";"total_organic_carbon";13,05;0,07
"137";20201214;"BODAC_1_effluent";"after_backwash";"total_organic_carbon";12,4;0,14
"138";20201214;"BODAC_1_effluent";"before_backwash";"total_organic_carbon";14,35;1,06
"139";20210317;"BODAC_1_effluent";"after_backwash";"total_organic_carbon";14,45;0,07
"140";20210317;"BODAC_1_effluent";"before_backwash";"total_organic_carbon";12,65;0,07
"141";20210325;"BODAC_1_effluent";"before_backwash";"total_organic_carbon";18,35;0,07
"142";20210616;"BODAC_1_effluent";"after_backwash";"total_organic_carbon";14,9;0,14
"143";20210616;"BODAC_1_effluent";"before_backwash";"total_organic_carbon";9,51;0,18
"144";20210901;"BODAC_1_effluent";"after_backwash";"total_organic_carbon";10,04;1,07
"145";20210901;"BODAC_1_effluent";"before_backwash";"total_organic_carbon";10,2;0,14
"146";20210908;"BODAC_1_effluent";"after_backwash";"total_organic_carbon";11,3;0,14
"147";20210908;"BODAC_1_effluent";"before_backwash";"total_organic_carbon";11,3;0,14
"148";20190911;"BODAC_2_effluent";"after_backwash";"total_organic_carbon";9,37;0,15
"149";20190911;"BODAC_2_effluent";"before_backwash";"total_organic_carbon";9,95;1,13
"150";20191212;"BODAC_2_effluent";"after_backwash";"total_organic_carbon";8,38;0,22
"151";20191212;"BODAC_2_effluent";"before_backwash";"total_organic_carbon";8,86;0,23
"152";20200304;"BODAC_2_effluent";"after_backwash";"total_organic_carbon";12,7;0,1
"153";20200304;"BODAC_2_effluent";"before_backwash";"total_organic_carbon";12,67;0,46
"154";20200625;"BODAC_2_effluent";"after_backwash";"total_organic_carbon";6,08;0,88
"155";20200625;"BODAC_2_effluent";"before_backwash";"total_organic_carbon";10,55;0,64
"156";20200915;"BODAC_2_effluent";"after_backwash";"total_organic_carbon";10,6;0,42
"157";20200915;"BODAC_2_effluent";"before_backwash";"total_organic_carbon";10,8;0,42
"158";20201214;"BODAC_2_effluent";"after_backwash";"total_organic_carbon";12,05;0,64
"159";20201214;"BODAC_2_effluent";"before_backwash";"total_organic_carbon";12,5;0,14
"160";20210317;"BODAC_2_effluent";"after_backwash";"total_organic_carbon";12,85;0,35
"161";20210317;"BODAC_2_effluent";"before_backwash";"total_organic_carbon";12,9;0,28
"162";20210325;"BODAC_2_effluent";"before_backwash";"total_organic_carbon";16,35;0,07
"163";20210616;"BODAC_2_effluent";"after_backwash";"total_organic_carbon";12,2;0,57
"164";20210616;"BODAC_2_effluent";"before_backwash";"total_organic_carbon";9,41;0,8
"165";20210901;"BODAC_2_effluent";"after_backwash";"total_organic_carbon";8,64;0,49
"166";20210901;"BODAC_2_effluent";"before_backwash";"total_organic_carbon";9,29;0,01
"167";20210908;"BODAC_2_effluent";"after_backwash";"total_organic_carbon";9,09;0,29
"168";20210908;"BODAC_2_effluent";"before_backwash";"total_organic_carbon";9,09;0,57
"169";20190911;"UF_permeate";"after_backwash";"total_organic_carbon";11,98;0,18
"170";20190911;"UF_permeate";"before_backwash";"total_organic_carbon";12,92;0,75
"171";20191212;"UF_permeate";"after_backwash";"total_organic_carbon";11,05;0,21
"172";20191212;"UF_permeate";"before_backwash";"total_organic_carbon";10,46;1,62
"173";20200304;"UF_permeate";"after_backwash";"total_organic_carbon";14,6;0,95
"174";20200304;"UF_permeate";"before_backwash";"total_organic_carbon";14,17;0,85
"175";20200625;"UF_permeate";"after_backwash";"total_organic_carbon";12,9;0,57
"176";20200625;"UF_permeate";"before_backwash";"total_organic_carbon";14,6;0
"177";20200915;"UF_permeate";"after_backwash";"total_organic_carbon";14;0,42
"178";20200915;"UF_permeate";"before_backwash";"total_organic_carbon";16,85;0,21
"179";20201214;"UF_permeate";"after_backwash";"total_organic_carbon";9,82;0,25
"180";20201214;"UF_permeate";"before_backwash";"total_organic_carbon";10,16;0,63
"181";20210317;"UF_permeate";"after_backwash";"total_organic_carbon";15,9;0,28
"182";20210317;"UF_permeate";"before_backwash";"total_organic_carbon";14,8;0,71
"183";20210325;"UF_permeate";"before_backwash";"total_organic_carbon";20,2;0,57
"184";20210616;"UF_permeate";"after_backwash";"total_organic_carbon";14,6;0,28
"185";20210616;"UF_permeate";"before_backwash";"total_organic_carbon";16,4;0,14
"186";20210901;"UF_permeate";"after_backwash";"total_organic_carbon";12,2;0,57
"187";20210901;"UF_permeate";"before_backwash";"total_organic_carbon";12,75;0,07
"188";20210908;"UF_permeate";"after_backwash";"total_organic_carbon";12,45;0,21
"189";20210908;"UF_permeate";"before_backwash";"total_organic_carbon";12,9;0,14
"190";20190911;"BODAC_1_effluent";"after_backwash";"dissolved_organic_carbon";10,28;1,43
"191";20190911;"BODAC_1_effluent";"before_backwash";"dissolved_organic_carbon";11,37;0,42
"192";20191212;"BODAC_1_effluent";"after_backwash";"dissolved_organic_carbon";18,97;14,84
"193";20191212;"BODAC_1_effluent";"before_backwash";"dissolved_organic_carbon";19,04;19,49
"194";20200304;"BODAC_1_effluent";"after_backwash";"dissolved_organic_carbon";32,97;32,94
"195";20200304;"BODAC_1_effluent";"before_backwash";"dissolved_organic_carbon";32,7;32,3
"196";20200625;"BODAC_1_effluent";"after_backwash";"dissolved_organic_carbon";13,25;0,21
"197";20200625;"BODAC_1_effluent";"before_backwash";"dissolved_organic_carbon";13,75;0,07
"198";20200915;"BODAC_1_effluent";"after_backwash";"dissolved_organic_carbon";12,75;0,21
"199";20200915;"BODAC_1_effluent";"before_backwash";"dissolved_organic_carbon";13,45;0,49
"200";20201214;"BODAC_1_effluent";"after_backwash";"dissolved_organic_carbon";13,15;0,35
"201";20201214;"BODAC_1_effluent";"before_backwash";"dissolved_organic_carbon";12,05;0,49
"202";20210317;"BODAC_1_effluent";"after_backwash";"dissolved_organic_carbon";14,15;0,35
"203";20210317;"BODAC_1_effluent";"before_backwash";"dissolved_organic_carbon";14,5;2,55
"204";20210325;"BODAC_1_effluent";"before_backwash";"dissolved_organic_carbon";16,35;0,07
"205";20210616;"BODAC_1_effluent";"after_backwash";"dissolved_organic_carbon";15,2;0,14
"206";20210616;"BODAC_1_effluent";"before_backwash";"dissolved_organic_carbon";10,5;0,57
"207";20210901;"BODAC_1_effluent";"after_backwash";"dissolved_organic_carbon";9,57;0,32
"208";20210901;"BODAC_1_effluent";"before_backwash";"dissolved_organic_carbon";11,55;0,64
"209";20210908;"BODAC_1_effluent";"after_backwash";"dissolved_organic_carbon";9,73;0,08
"210";20210908;"BODAC_1_effluent";"before_backwash";"dissolved_organic_carbon";10,7;0,14
"211";20190911;"BODAC_2_effluent";"after_backwash";"dissolved_organic_carbon";8,49;1,07
"212";20190911;"BODAC_2_effluent";"before_backwash";"dissolved_organic_carbon";9,13;0,31
"213";20191212;"BODAC_2_effluent";"after_backwash";"dissolved_organic_carbon";11,5;8,49
"214";20191212;"BODAC_2_effluent";"before_backwash";"dissolved_organic_carbon";18,39;23,18
"215";20200304;"BODAC_2_effluent";"after_backwash";"dissolved_organic_carbon";30,47;30,77
"216";20200304;"BODAC_2_effluent";"before_backwash";"dissolved_organic_carbon";31,7;31,87
"217";20200625;"BODAC_2_effluent";"after_backwash";"dissolved_organic_carbon";10,65;0,21
"218";20200625;"BODAC_2_effluent";"before_backwash";"dissolved_organic_carbon";11,3;0,42
"219";20200915;"BODAC_2_effluent";"after_backwash";"dissolved_organic_carbon";10,45;0,35
"220";20200915;"BODAC_2_effluent";"before_backwash";"dissolved_organic_carbon";11,2;0
"221";20201214;"BODAC_2_effluent";"after_backwash";"dissolved_organic_carbon";9,87;0,61
"222";20201214;"BODAC_2_effluent";"before_backwash";"dissolved_organic_carbon";10,8;0,85
"223";20210317;"BODAC_2_effluent";"after_backwash";"dissolved_organic_carbon";12,65;0,21
"224";20210317;"BODAC_2_effluent";"before_backwash";"dissolved_organic_carbon";12,35;0,64
"225";20210325;"BODAC_2_effluent";"before_backwash";"dissolved_organic_carbon";14,35;0,07
"226";20210616;"BODAC_2_effluent";"after_backwash";"dissolved_organic_carbon";12,1;0,14
"227";20210616;"BODAC_2_effluent";"before_backwash";"dissolved_organic_carbon";9,69;1,15
"228";20210901;"BODAC_2_effluent";"after_backwash";"dissolved_organic_carbon";8,57;0,01
"229";20210901;"BODAC_2_effluent";"before_backwash";"dissolved_organic_carbon";8,87;0,13
"230";20210908;"BODAC_2_effluent";"after_backwash";"dissolved_organic_carbon";9,32;0,13
"231";20210908;"BODAC_2_effluent";"before_backwash";"dissolved_organic_carbon";9,43;0,76
"232";20190911;"UF_permeate";"after_backwash";"dissolved_organic_carbon";11,27;0,25
"233";20190911;"UF_permeate";"before_backwash";"dissolved_organic_carbon";12,53;0,81
"234";20191212;"UF_permeate";"after_backwash";"dissolved_organic_carbon";25,97;28,6
"235";20191212;"UF_permeate";"before_backwash";"dissolved_organic_carbon";26,13;27,6
"236";20200304;"UF_permeate";"after_backwash";"dissolved_organic_carbon";34,37;33,46
"237";20200304;"UF_permeate";"before_backwash";"dissolved_organic_carbon";34,53;35,05
"238";20200625;"UF_permeate";"after_backwash";"dissolved_organic_carbon";14,25;0,07
"239";20200625;"UF_permeate";"before_backwash";"dissolved_organic_carbon";15,5;0,42
"240";20200915;"UF_permeate";"after_backwash";"dissolved_organic_carbon";14,6;0
"241";20200915;"UF_permeate";"before_backwash";"dissolved_organic_carbon";17;0,42
"242";20201214;"UF_permeate";"after_backwash";"dissolved_organic_carbon";12,6;0
"243";20201214;"UF_permeate";"before_backwash";"dissolved_organic_carbon";13,65;0,07
"244";20210317;"UF_permeate";"after_backwash";"dissolved_organic_carbon";16,95;0,49
"245";20210317;"UF_permeate";"before_backwash";"dissolved_organic_carbon";15,1;0,71
"246";20210325;"UF_permeate";"before_backwash";"dissolved_organic_carbon";17,7;0
"247";20210616;"UF_permeate";"after_backwash";"dissolved_organic_carbon";14,7;0,14
"248";20210616;"UF_permeate";"before_backwash";"dissolved_organic_carbon";15,45;0,07
"249";20210901;"UF_permeate";"after_backwash";"dissolved_organic_carbon";12,05;0,07
"250";20210901;"UF_permeate";"before_backwash";"dissolved_organic_carbon";12,5;0,14
"251";20210908;"UF_permeate";"after_backwash";"dissolved_organic_carbon";11,65;0,64
"252";20210908;"UF_permeate";"before_backwash";"dissolved_organic_carbon";12,8;1,13
"253";20190911;"BODAC_1_effluent";"after_backwash";"inorganic_carbon";23,72;0,19
"254";20190911;"BODAC_1_effluent";"before_backwash";"inorganic_carbon";22,58;0,4
"255";20191212;"BODAC_1_effluent";"after_backwash";"inorganic_carbon";16,75;0,21
"256";20191212;"BODAC_1_effluent";"before_backwash";"inorganic_carbon";16,35;0,35
"257";20200304;"BODAC_1_effluent";"after_backwash";"inorganic_carbon";24,23;0,32
"258";20200304;"BODAC_1_effluent";"before_backwash";"inorganic_carbon";23,37;0,32
"259";20200625;"BODAC_1_effluent";"after_backwash";"inorganic_carbon";36,15;0,78
"260";20200625;"BODAC_1_effluent";"before_backwash";"inorganic_carbon";35,6;0
"261";20200915;"BODAC_1_effluent";"after_backwash";"inorganic_carbon";37;0
"262";20200915;"BODAC_1_effluent";"before_backwash";"inorganic_carbon";37,8;0
"263";20201214;"BODAC_1_effluent";"after_backwash";"inorganic_carbon";21;0,28
"264";20201214;"BODAC_1_effluent";"before_backwash";"inorganic_carbon";26,4;0,99
"265";20210317;"BODAC_1_effluent";"after_backwash";"inorganic_carbon";11,8;1,7
"266";20210317;"BODAC_1_effluent";"before_backwash";"inorganic_carbon";13,55;2,05
"267";20210325;"BODAC_1_effluent";"before_backwash";"inorganic_carbon";21,6;0,71
"268";20210616;"BODAC_1_effluent";"after_backwash";"inorganic_carbon";25,8;0,85
"269";20210616;"BODAC_1_effluent";"before_backwash";"inorganic_carbon";65,95;0,35
"270";20210901;"BODAC_1_effluent";"after_backwash";"inorganic_carbon";37,05;0,35
"271";20210901;"BODAC_1_effluent";"before_backwash";"inorganic_carbon";36,8;0,14
"272";20210908;"BODAC_1_effluent";"after_backwash";"inorganic_carbon";44,3;0,71
"273";20210908;"BODAC_1_effluent";"before_backwash";"inorganic_carbon";45,95;0,49
"274";20190911;"BODAC_2_effluent";"after_backwash";"inorganic_carbon";27,1;0,46
"275";20190911;"BODAC_2_effluent";"before_backwash";"inorganic_carbon";23,53;0,23
"276";20191212;"BODAC_2_effluent";"after_backwash";"inorganic_carbon";17,3;0,42
"277";20191212;"BODAC_2_effluent";"before_backwash";"inorganic_carbon";16,6;0,28
"278";20200304;"BODAC_2_effluent";"after_backwash";"inorganic_carbon";25,53;0,4
"279";20200304;"BODAC_2_effluent";"before_backwash";"inorganic_carbon";24,47;0,81
"280";20200625;"BODAC_2_effluent";"after_backwash";"inorganic_carbon";16,95;0,35
"281";20200625;"BODAC_2_effluent";"before_backwash";"inorganic_carbon";34;0
"282";20200915;"BODAC_2_effluent";"after_backwash";"inorganic_carbon";39;0,42
"283";20200915;"BODAC_2_effluent";"before_backwash";"inorganic_carbon";39,35;0,21
"284";20201214;"BODAC_2_effluent";"after_backwash";"inorganic_carbon";22,95;0,21
"285";20201214;"BODAC_2_effluent";"before_backwash";"inorganic_carbon";25,4;0,28
"286";20210317;"BODAC_2_effluent";"after_backwash";"inorganic_carbon";14,6;0,99
"287";20210317;"BODAC_2_effluent";"before_backwash";"inorganic_carbon";16,35;0,49
"288";20210325;"BODAC_2_effluent";"before_backwash";"inorganic_carbon";27,55;2,05
"289";20210616;"BODAC_2_effluent";"after_backwash";"inorganic_carbon";44,35;0,35
"290";20210616;"BODAC_2_effluent";"before_backwash";"inorganic_carbon";68,1;0,14
"291";20210901;"BODAC_2_effluent";"after_backwash";"inorganic_carbon";36,5;0,14
"292";20210901;"BODAC_2_effluent";"before_backwash";"inorganic_carbon";36,6;0,57
"293";20210908;"BODAC_2_effluent";"after_backwash";"inorganic_carbon";48,45;0,78
"294";20210908;"BODAC_2_effluent";"before_backwash";"inorganic_carbon";46,15;0,49
"295";20190911;"UF_permeate";"after_backwash";"inorganic_carbon";24,47;0,4
"296";20190911;"UF_permeate";"before_backwash";"inorganic_carbon";24,23;0,4
"297";20191212;"UF_permeate";"after_backwash";"inorganic_carbon";18,6;0,28
"298";20191212;"UF_permeate";"before_backwash";"inorganic_carbon";20,95;0,64
"299";20200304;"UF_permeate";"after_backwash";"inorganic_carbon";27,93;0,67
"300";20200304;"UF_permeate";"before_backwash";"inorganic_carbon";29,3;0,46
"301";20200625;"UF_permeate";"after_backwash";"inorganic_carbon";36,85;0,07
"302";20200625;"UF_permeate";"before_backwash";"inorganic_carbon";38,95;0,21
"303";20200915;"UF_permeate";"after_backwash";"inorganic_carbon";36,8;0,42
"304";20200915;"UF_permeate";"before_backwash";"inorganic_carbon";39,8;0,14
"305";20201214;"UF_permeate";"after_backwash";"inorganic_carbon";24,45;0,07
"306";20201214;"UF_permeate";"before_backwash";"inorganic_carbon";30,35;1,06
"307";20210317;"UF_permeate";"after_backwash";"inorganic_carbon";21,1;0,28
"308";20210317;"UF_permeate";"before_backwash";"inorganic_carbon";21,7;0,71
"309";20210325;"UF_permeate";"before_backwash";"inorganic_carbon";38,55;0,92
"310";20210616;"UF_permeate";"after_backwash";"inorganic_carbon";30,75;0,07
"311";20210616;"UF_permeate";"before_backwash";"inorganic_carbon";32,7;0,14
"312";20210901;"UF_permeate";"after_backwash";"inorganic_carbon";39;0,14
"313";20210901;"UF_permeate";"before_backwash";"inorganic_carbon";39,65;0,78
"314";20210908;"UF_permeate";"after_backwash";"inorganic_carbon";46,45;0,64
"315";20210908;"UF_permeate";"before_backwash";"inorganic_carbon";47,4;0,14
"316";20200625;"BODAC_1_effluent";"after_backwash";"total_NPOC";10,5;0,57
"317";20200625;"BODAC_1_effluent";"before_backwash";"total_NPOC";11,1;0,28
"318";20200915;"BODAC_1_effluent";"after_backwash";"total_NPOC";11,7;0,14
"319";20200915;"BODAC_1_effluent";"before_backwash";"total_NPOC";11,4;0,57
"320";20201214;"BODAC_1_effluent";"after_backwash";"total_NPOC";11,35;0,21
"321";20201214;"BODAC_1_effluent";"before_backwash";"total_NPOC";12,4;0,14
"322";20210317;"BODAC_1_effluent";"after_backwash";"total_NPOC";12,85;0,07
"323";20210317;"BODAC_1_effluent";"before_backwash";"total_NPOC";10,8;0,14
"324";20210325;"BODAC_1_effluent";"before_backwash";"total_NPOC";16,4;0,28
"325";20210616;"BODAC_1_effluent";"after_backwash";"total_NPOC";14,05;0,07
"326";20210616;"BODAC_1_effluent";"before_backwash";"total_NPOC";8,66;0,12
"327";20210901;"BODAC_1_effluent";"after_backwash";"total_NPOC";8,08;0,11
"328";20210901;"BODAC_1_effluent";"before_backwash";"total_NPOC";9,11;0,16
"329";20210908;"BODAC_1_effluent";"after_backwash";"total_NPOC";8,8;0,26
"330";20210908;"BODAC_1_effluent";"before_backwash";"total_NPOC";9,13;0,24
"331";20200625;"BODAC_2_effluent";"after_backwash";"total_NPOC";4,23;0,13
"332";20200625;"BODAC_2_effluent";"before_backwash";"total_NPOC";8,9;0,24
